Cat_name,Status
Welding Equipment & Accessories_Arc Welding Equipment_Plasma Arc Cutting Equipment,TRUE
Fuses_Cartridge Fuses,FALSE
Book Lights,TRUE
Toilet Flush Valves,FALSE
Fire Safety_Fire Escape Ladders,TRUE
Lifting Cranes_Winch,TRUE
Nuts_Wing Nuts,FALSE
Crimpers,TRUE
Trigger Snaps,FALSE
Threaded Inserts_T-Nuts,FALSE
Raw Building Materials_Siding,FALSE
Washers_Slotted Washers,FALSE
Welding Equipment & Accessories_Clamps,TRUE
Spacers & Standoffs_Bumpers,FALSE
Furniture Pads,TRUE
Wrenches_Socket Wrenches,TRUE
Hammers_Tack Hammers,TRUE
Sharpening Stones,TRUE
Plug-In Switches_Timers,FALSE
Wrenches_Pipe Wrenches,TRUE
Cabinet Safes,TRUE
Weatherproofing_Weather Stripping,FALSE
Hammers_Engineers' Hammers,TRUE
Mailbox Accessories & Hardware_Mailbox Numbers,TRUE
Wall Plates,TRUE
Vacuum Parts & Accessories_Bags_Upright Bags,FALSE
Electrical Testers_Resistance Meters_LCR Meters,TRUE
Wall Repair,FALSE
Travel Adapters,TRUE
Toilets & Toilet Parts_Toilets_Two-Piece Toilets,FALSE
Refrigerator Parts & Accessories_Bins,TRUE
Parts & Accessories_Inserters & Extractors_Extraction Tools,TRUE
Power Drill Parts & Accessories_Hole Saws & Accessories_Hole Saw Arbors,TRUE
Saws_Table Saws,TRUE
Milling Machines,TRUE
Kitchen Faucets_Kitchen Sink Faucets_Pot Filler Faucets,TRUE
Abrasive Wheels & Discs_Angle Grinder Wheels,FALSE
Dryer Parts & Accessories_Replacement Parts,FALSE
Workholding Devices_Spring Plungers_Push Fit Ball Nose,TRUE
Bathtub Faucets & Showerheads_Bathtub Faucet Replacement Parts,FALSE
Windows_Exterior Window Shutters_Shutter Tops,FALSE
Winches Hoists & Pulleys_Pulleys_Round Belt Pulleys,TRUE
Multi Testers,FALSE
Vacuum Parts & Accessories_Filters_Canister Filters,FALSE
Power Drill Parts & Accessories_Drill Bits_Self-Feed Drill Bits,TRUE
Furnace Parts & Accessories_Heating Elements,FALSE
Shutter Hardware_Shutter Dogs,TRUE
Face Protection_Masks & Respirators_Respirator Parts,FALSE
Toilets & Toilet Parts_Toilet Bowls,FALSE
Raw Building Materials_Rebar,FALSE
Abrasive Wheels & Discs_Grinding Discs,FALSE
Job Site Lighting,TRUE
Cables & Chains,TRUE
Workholding Devices_Clamps_Edge Clamps,TRUE
Bathroom Hardware & Installation_Installation & Mounting Kits,FALSE
Screwdriver Accessories_Bit Holders,TRUE
Surveillance Systems,TRUE
Screwdriver Accessories_Screwdriver Bits_Nut Driver Bits,TRUE
Adhesive Dispensers & Accessories_Caulking Guns,FALSE
Air Tool Parts & Accessories_Maintenance Kits,FALSE
Pipe Locators,TRUE
Chains_Ball & Bead Chains,TRUE
Food Processor Parts & Accessories,FALSE
Eye Protection_Safety Goggles & Glasses,FALSE
Bolts_Hex Bolts,FALSE
Jacks & Accessories_Tongue Jacks,TRUE
Tiles_Stone Tiles_Limestone Tiles,FALSE
Regenerative Blowers,TRUE
Fuses_Fuse Blocks & Fuse Holders_Fuse Holders,FALSE
Sockets & Socket Sets_Socket & Socket Wrench Sets,TRUE
Anchors_Expansion Shield Anchors,FALSE
Workholding Devices_Clamps_Pipe Clamps,TRUE
Saw Blades Parts & Accessories_Accessories_Scroll Saw Accessories,FALSE
Jacks & Accessories_Floor Jacks,TRUE
Face Protection_Masks & Respirators_Respirators_Reusable Respirators,FALSE
Horizontal & Vertical Lasers,TRUE
Shower Flow Control Valves,FALSE
Lathes_Wood Lathes,TRUE
Drop-In Ranges,TRUE
Bonsai Tools_Bonsai Tweezers,TRUE
Wallpaper Tools,TRUE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Sanding Sheets,FALSE
Lantern Flashlights,TRUE
Roofing_Vents_Soffit Vents,FALSE
Threaded Inserts_Externally Threaded Inserts,FALSE
Abrasive Wheels & Discs_Flap Discs,FALSE
Washers_Cup Washers,FALSE
Stains,FALSE
Steam Cleaner & Steam Mop Parts & Accessories_Replacement Parts,FALSE
Nuts_Eye Nuts,FALSE
Router Parts & Accessories_Router Fences,TRUE
Drain Augers,FALSE
Replacement Water Filters_Replacement Under-Sink Water Filters,FALSE
Garbage Disposal Parts,FALSE
Dial Calipers,TRUE
Fan Motors,FALSE
